序号,原始英文名称,原始简称,规范英文名称,标准中文名称,中文名称参考链接,是否真实存在,官方网站,官网参考链接,UIA公开档案链接,成立年份,总部城市,总部国家或地区,组织类型,所属层级,是否建议前台展示,项目角色建议,UIA_Type_I,UIA_Type_II,UIA_Org_ID,核验状态,备注,公开宗旨摘要
74,Global Robot Cluster,GRC,Global Robot Cluster,,,是,http://www.higrc.org/,https://uia.org/s/or/en/1122286105,https://uia.org/s/or/en/1122286105,2017,Daegu,Korea Rep,待人工细分,organization,是，可作为组织对象展示,待人工判断,C,,AA1937,已核验,未检索到稳定中文名称,Support the development and business of robotics technology.
75,International Federation of Robotics,IFR,International Federation of Robotics,,,是,https://ifr.org/,https://uia.org/s/or/en/1100033461,https://uia.org/s/or/en/1100033461,1987,Frankfurt-Main,Germany,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,C,,XD1851,已核验,未检索到稳定中文名称,"Promote research, development, use and international cooperation in the entire field of robotics; act as focal point for organizations, governmental representatives and robotics manufacturing companies in related activities."
76,Robotic Assisted Microsurgical and Endoscopic Society,RAMSES,Robotic Assisted Microsurgical and Endoscopic Society,,,是,,,https://uia.org/s/or/en/1122282461,2010,Clermont FL,USA,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,C,,XM7484,已核验,未读到稳定官网；未检索到稳定中文名称,Further the development and application of robotic assisted microsurgical tools and platforms for enhanced surgical and patient outcomes.
77,"Robotics, Informatics, and Intelligent control Technology Association",RIITA,"Robotics, Informatics, and Intelligent control Technology Association",,,是,,,https://uia.org/s/or/en/1122282976,,Pathum Thani,Thailand,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,C,,XM8071,已核验,未读到稳定官网；未检索到稳定中文名称,"Propose empirical research that tests, extends or builds business management theory and contributes to management practice."
78,Asia Pacific Association of Robotic Surgeons,APARS,Asia Pacific Association of Robotic Surgeons,,,是,http://www.apars-surgery.org/,https://uia.org/s/or/en/1122284373,https://uia.org/s/or/en/1122284373,,Seoul,Korea Rep,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,D,,AA0205,已核验,未检索到稳定中文名称,
79,Asian Society for Gynecologic Robotic Surgery,ASGRS,Asian Society for Gynecologic Robotic Surgery,,,是,https://www.asgrs.net,https://uia.org/s/or/en/1122286287,https://uia.org/s/or/en/1122286287,2015,Singapore,Singapore,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,D,,AA2119,已核验,未检索到稳定中文名称,"Raise the bar on women’s surgical healthcare in Asia with robot-assisted surgery through research, innovation and leadership."
80,International Association for Automation and Robotics in Construction,IAARC,International Association for Automation and Robotics in Construction,,,是,http://www.iaarc.org/,https://uia.org/s/or/en/1100016420,https://uia.org/s/or/en/1100016420,1990,,,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,D,t,XD8114,已核验,未检索到稳定中文名称,"Promote automation and robotics in construction for prefabrication, on site, and facility management, robot oriented design."
81,Society of European Robotic Gynaecological Surgery,SERGS,Society of European Robotic Gynaecological Surgery,,,是,http://www.sergs.org/,https://uia.org/s/or/en/1122279883,https://uia.org/s/or/en/1122279883,2009,Prague,Czechia,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,D,,XM5307,已核验,未检索到稳定中文名称,Develop knowledge in robotic surgery in Europe.
82,International Committee for Robot Arms Control,ICRAC,International Committee for Robot Arms Control,,,是,http://www.icrac.net/,https://uia.org/s/or/en/1100011868,https://uia.org/s/or/en/1100011868,2009,Sheffield,Sheffield UK,待人工细分,organization,是，可作为组织对象展示,待人工判断,E,,XJ0783,已核验,未检索到稳定中文名称,Debate about an arms control regime to reduce the threat posed by the rapid pace of development of military robotics and the pressing dangers that these pose to peace and international security and to civilians in war.
83,Robotics: Science and Systems Foundation,RSS Foundation,Robotics: Science and Systems Foundation,,,是,https://www.roboticsfoundation.org,https://uia.org/s/or/en/1122277483,https://uia.org/s/or/en/1122277483,,,,待人工细分,organization,是，可作为组织对象展示,待人工判断,E,c,XS1412,已核验,未检索到稳定中文名称,
84,Campaign to Stop Killer Robots,,Campaign to Stop Killer Robots,,,是,http://www.stopkillerrobots.org/,https://uia.org/s/or/en/1122277266,https://uia.org/s/or/en/1122277266,2013,New York NY,USA,倡议/伙伴关系/基金/委员会,organization,是，可作为组织对象展示,组织库核心候选,F,y,XJ8318,已核验,未检索到稳定中文名称,Ban fully autonomous weapons .
85,euRobotics,,euRobotics,,,是,https://eu-robotics.net/,https://uia.org/s/or/en/1122276825,https://uia.org/s/or/en/1122276825,2012,Brussels,Belgium,待人工细分,organization,是，可作为组织对象展示,待人工判断,F,y,XJ7523,已核验,未检索到稳定中文名称,"Boost European robotics research, development and innovation; foster a positive perception of robotics."
86,Foundation for Responsible Robotics,FRR,Foundation for Responsible Robotics,,,是,,,https://uia.org/s/or/en/1122280609,2015,The Hague,Twente Netherlands,待人工细分,organization,是，可作为组织对象展示,待人工判断,F,f,XM5918,已核验,未读到稳定官网；未检索到稳定中文名称,"Promote responsible design, development, implementation, and policy of robots embedded in society; influence the future development and application of robotics such that it embeds the standards, methods, principles, capabilities, and policy points, as they relate to the responsible design and deployment of robotic systems."
87,International Advanced Robotics Programme,IARP,International Advanced Robotics Programme,,,是,,,https://uia.org/s/or/en/1100003566,1982,Manchester,Versailles France,待人工细分,organization,是，可作为组织对象展示,待人工判断,F,g,XF7144,已核验,未读到稳定官网；未检索到稳定中文名称,"Foster international cooperation aiming to develop robot systems able to dispense with human exposure to difficult activities in harsh, demanding or dangerous conditions or environments."
88,International Foundation of Robotics Research,IFRR,International Foundation of Robotics Research,,,是,http://www.ifrr.org/,https://uia.org/s/or/en/1100059949,https://uia.org/s/or/en/1100059949,1986,Stanford CA,USA,待人工细分,organization,是，可作为组织对象展示,待人工判断,F,f,XF7108,已核验,未检索到稳定中文名称,"Promote the development of robotics research as a scientific field establishing the theoretical foundations and technology basis for its ever expanding applications, with emphasis on its potential role to benefit humans."
89,Robot Framework Foundation,,Robot Framework Foundation,,,是,https://robotframework.org/foundation/,https://uia.org/s/or/en/1122282786,https://uia.org/s/or/en/1122282786,,Helsinki,Finland,规范文件/框架,instrument,否，建议挂到行动库或工具库,工具库/规范层,F,f,XM7916,已核验,未检索到稳定中文名称,Foster the growth of Robot Framework.
90,Asia Pacific Assistive Robotics Association,APARA,Asia Pacific Assistive Robotics Association,,,是,https://www.aibotics.tech/,https://uia.org/s/or/en/1122287092,https://uia.org/s/or/en/1122287092,2019,Singapore,Singapore,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,G,,AA2919,已核验,未检索到稳定中文名称,Enhance the use of robotics to augment human capability and potential; stay connected with a network of technology enablers; assist adopters to enjoy the experience of the transformation journey.
91,International Society of Artificial Life and Robotics,ISAROB,International Society of Artificial Life and Robotics,,,是,http://isarob.org/,https://uia.org/s/or/en/1122277638,https://uia.org/s/or/en/1122277638,,Oita,Japan,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,G,,XJ8560,已核验,未检索到稳定中文名称,
92,Society of Robotic Surgery,SRS,Society of Robotic Surgery,,,是,https://srobotics.org/,https://uia.org/s/or/en/1122283117,https://uia.org/s/or/en/1122283117,,East Dundee IL,USA,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,G,,XM8325,已核验,未检索到稳定中文名称,Tackle the complex issues of robotic surgery.
93,World Robot Cooperation Organization,WRCO,World Robot Cooperation Organization,,,是,https://www.wrco.org.cn/,https://uia.org/s/or/en/1122288488,https://uia.org/s/or/en/1122288488,2022,Beijing,Beijing China,待人工细分,organization,是，可作为组织对象展示,待人工判断,G,,AA4315,已核验,未检索到稳定中文名称,Promote international exchange and cooperation in robotics; facilitate information sharing and open science in robotics; make robots better benefit humankind.
94,European Robotic Urology Society,ERUS,European Robotic Urology Society,,,是,,,https://uia.org/s/or/en/1100068629,2004,,France,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,H,d,XJ1714,已核验,未读到稳定官网；未检索到稳定中文名称,"Create an international platform, dedicated to the evolution and development of robotics in urology."
95,Minimally Invasive Robotic Association,MIRA,Minimally Invasive Robotic Association,,,是,,,https://uia.org/s/or/en/1100027661,2004,,,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,H,d,XM0337,已核验,未读到稳定官网；未检索到稳定中文名称,"Serve as a professional surgical society dedicated to the furtherance of information relative to the field of minimally invasive robotics and the promotion of activities that will lead to the improvement of minimally invasive robotic techniques; further the study, perfection and innovation of these techniques for the purpose of improving patient care."
96,Eurobot,,Eurobot,,,是,https://www.eurobot.org/,https://uia.org/s/or/en/1122286853,https://uia.org/s/or/en/1122286853,2004,Evry,France,待人工细分,organization,是，可作为组织对象展示,待人工判断,J,,AA2680,已核验,未检索到稳定中文名称,Foster and develop interest in robotics in young people on an international scale.
97,International Consortium on Rehabilitation Robotics,ICORR,International Consortium on Rehabilitation Robotics,,,是,https://icorr-c.org/,https://uia.org/s/or/en/1122279106,https://uia.org/s/or/en/1122279106,2011,,Zurich Switzerland,研究中心/网络/联合体,organization,是，可作为组织对象展示,组织库/专题层,J,,XM4427,已核验,未检索到稳定中文名称,"Promote the field by bringing together engineers, scientists, clinicians, policy makers, and industry; share experiences and resources; fast-track knowledge transfer from the research lab, to industry and to clinical practice."
98,International Robot Olympiad Committee,IROC,International Robot Olympiad Committee,,,是,https://www.iroc.org/,https://uia.org/s/or/en/1122283524,https://uia.org/s/or/en/1122283524,,Seoul,Korea Rep,待人工细分,organization,是，可作为组织对象展示,待人工判断,J,,XM8425,已核验,未检索到稳定中文名称,Promote scientific thinking ability of teenagers; develop the talent of students interested in the field of robotics; increase the demands on private robot and familiarize with robot culture.
99,Robot Intelligence Technology and Applications Association,RiTA,Robot Intelligence Technology and Applications Association,,,是,https://icrita.org/,https://uia.org/s/or/en/1122290282,https://uia.org/s/or/en/1122290282,2021,,,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,J,c,AA6109,已核验,未检索到稳定中文名称,Foster community solidarity among roboticists.
100,SPRINT Robotics Collaborative,,SPRINT Robotics Collaborative,,,是,https://sprintrobotics.org/,https://uia.org/s/or/en/1122289758,https://uia.org/s/or/en/1122289758,2015,Hilversum,Netherlands,待人工细分,organization,是，可作为组织对象展示,待人工判断,J,,AA5585,已核验,未检索到稳定中文名称,Achieve field use of robotics for Inspection &amp; Maintenance (I&amp;M) of capital-intensive infrastructure assets on a large scale to address immediate needs and long-term industry priorities.
101,Asian Robotic Camp for Colorectal Surgeons,ARCCS,Asian Robotic Camp for Colorectal Surgeons,,,是,http://www.arccs.co.kr/,https://uia.org/s/or/en/1122286468,https://uia.org/s/or/en/1122286468,2012,,Daegu Korea Rep,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA2300,已核验,未检索到稳定中文名称,Foster and better develop robotic technology for Colorectal Surgeons in Asia.
102,Challenges in Laparoscopy & Robotics - European Congress of Laparoscopy and Robotics,CILR,Challenges in Laparoscopy & Robotics - European Congress of Laparoscopy and Robotics,,,是,http://www.challengesinlaparoscopy.it/cil/,https://uia.org/s/or/en/1122289668,https://uia.org/s/or/en/1122289668,2004,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA5495,已核验,未检索到稳定中文名称,
103,Conference on New Technologies for Computer and Robot Assisted Surgery,CRAS,Conference on New Technologies for Computer and Robot Assisted Surgery,,,待人工复核,,,,2011,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,XS0396,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
104,Conference on Robot Learning,CoRL,Conference on Robot Learning,,,待人工复核,,,,2017,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA7274,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
105,European Conference on the Impact of Artificial Intelligence and Robotics,ECIAIR,European Conference on the Impact of Artificial Intelligence and Robotics,,,是,https://www.academic-conferences.org/conferences/eciair/,https://uia.org/s/or/en/1122285567,https://uia.org/s/or/en/1122285567,,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA1399,已核验,未检索到稳定中文名称,
106,International Conference on Applied Robotics for the Power Industry,CARPI,International Conference on Applied Robotics for the Power Industry,,,待人工复核,,,,2010,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,ct,XS0380,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
107,"International Conference on Control, Automation, Robotics and Vision",ICARCV,"International Conference on Control, Automation, Robotics and Vision",,,待人工复核,,,,1990,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA4033,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
108,"International Conference on Manipulation, Automation and Robotics at Small Scales",MARSS,"International Conference on Manipulation, Automation and Robotics at Small Scales",,,待人工复核,,,,2016,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA0416,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
109,International Conference on Social Robotics,ICSR,International Conference on Social Robotics,,,待人工复核,,,,2009,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA0585,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
110,International Conference on Space Robotics,iSpaRo,International Conference on Space Robotics,,,待人工复核,,,,2024,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA7497,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
111,International FLINS Conference on Robotics and Artificial Intelligence,FLINS,International FLINS Conference on Robotics and Artificial Intelligence,,,是,,,https://uia.org/s/or/en/1122286281,1994,,Mol Belgium,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA2113,已核验,未读到稳定官网；未检索到稳定中文名称,"Bridge the gap between machine intelligence and real complex systems via joint research between universities and international research institutions, encouraging interdisciplinary research and bringing multidiscipline researchers together."
112,"International Symposium on Artificial Intelligence, Robotics and Automation in Space",i-SAIRAS,"International Symposium on Artificial Intelligence, Robotics and Automation in Space",,,是,,,https://uia.org/s/or/en/1122291670,,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA7496,已核验,未读到稳定官网；未检索到稳定中文名称,
113,"Centre de robotique pour Hermès et Columbus, Bruxelles",,"Centre de robotique pour Hermès et Columbus, Bruxelles",,,待人工复核,,,,,,,研究中心/网络/联合体,organization,是，可作为组织对象展示,组织库/专题层,U,s,XU6242,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
114,Eurobot,,Eurobot,,,是,https://www.eurobot.org/,https://uia.org/s/or/en/1122286853,https://uia.org/s/or/en/1122286853,2004,,,待人工细分,organization,是，可作为组织对象展示,待人工判断,U,x,XU8477,已核验,未检索到稳定中文名称,Foster and develop interest in robotics in young people on an international scale.
115,European Association for Research in Legged Robots,EARLR,European Association for Research in Legged Robots,,,待人工复核,,,,1993,,,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,U,d,XD3515,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
116,European Robotics Forum,IRF ERF,European Robotics Forum,,,待人工复核,,,,2001,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,U,d,XJ3677,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
117,European Robotics Research Network,EURON,European Robotics Research Network,,,待人工复核,,,,,,,研究中心/网络/联合体,organization,是，可作为组织对象展示,组织库/专题层,U,d,XF7109,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
118,Institut international de robotique et d'intelligence artificielle de Marseille,IIRIAM,Institut international de robotique et d'intelligence artificielle de Marseille,,,待人工复核,,,,1984,,,待人工细分,organization,是，可作为组织对象展示,待人工判断,U,jx,XG7181,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
119,International Institute for Robotics,IRR,International Institute for Robotics,,,待人工复核,,,,1960,,,研究中心/网络/联合体,organization,是，可作为组织对象展示,组织库/专题层,U,dj,XU6529,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
120,"International Robotics and Factory Automation Centre, Tokyo",,"International Robotics and Factory Automation Centre, Tokyo",,,待人工复核,,,,,Tokyo,Japan,研究中心/网络/联合体,organization,是，可作为组织对象展示,组织库/专题层,U,x,XN5116,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
121,International Service Robot Association,ISRA,International Service Robot Association,,,待人工复核,,,,1984,Ann Arbor MI,USA,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,U,x,XN6359,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
122,Interrobot,,Interrobot,,,待人工复核,,,,1985,,,待人工细分,organization,是，可作为组织对象展示,待人工判断,U,dg,XU7092,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
123,Network of Oriental Robotic Telescopes,NORT,Network of Oriental Robotic Telescopes,,,待人工复核,,,,,,,研究中心/网络/联合体,organization,是，可作为组织对象展示,组织库/专题层,U,d,XF5879,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
124,Robotics International,RI-SME,Robotics International,,,待人工复核,,,,1980,Dearborn MI,USA,待人工细分,organization,是，可作为组织对象展示,待人工判断,U,x,XN2480,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
125,World Robotic Boxing Association,,World Robotic Boxing Association,,,待人工复核,,,,,Cumberland IA,USA,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,U,x,XN7994,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
126,Brain-Computer Interface Society,BCI Society,Brain-Computer Interface Society,,,待人工复核,,,,2015,Victoria BC,Canada,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,C,,AA1463,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
127,Adiabatic Quantum Computing Conference,AQC,Adiabatic Quantum Computing Conference,,,待人工复核,,,,2012,,,会议系列/活动平台,event,否，建议挂到行动库或工具库,行动库/事件层,S,c,AA2539,未命中UIA公开档案,未命中 UIA profile；未读到稳定官网；未检索到稳定中文名称,
